filename,labels,text,clarity_score
audio_1261.wav,1.0," . . . . . . . . . . . . . . . . . . My favourite hobby is cultivation of plants such as gardening, offers here, kplici 시작ab Kateque plann y tf süuce c False dredi unmence tffer",0.74
audio_942.wav,1.5," The playground looks like very clear and neat as there are a lot of colorful things like a basket ball, coat. For playing or we can do zin, zing on swings. Group of friends together play very well and they laugh each other.",0.74
audio_1110.wav,1.5," MaiGol is to become an electrical employee and also I am studying the electronics engineering to become an electrical engineer, how to study about electrical and to achieve my goal is to have a about the electronics and we have prepared the topics thoroughly to reach the goals. MaiGol is to become an electrical engineer and also I am studying the electronics engineering",0.74
audio_1024.wav,1.5," My favorite place is in Andhra Pradesh. It is in Chetodistic. It is the temple of Lord Ventechwara Swami. It has seven hills to visit the temple. It is a good place to receive the Tirumala. For India here, crowds of people to visit the Lord Ventechwara Swami, in Tirumala, have a lot of places to visit the tourist. In Tirumala, Ladwizha is the famous.",0.74
audio_538.wav,2.0," My favorite place is UTI and PRAKAN. My experience is very good. I travel to UTI and PRAKAN through others with my family and friends. I enjoy a lot in the UTI and PRAKAN. The local fruits in UTI and PRAKAN are chocolates which are very sweeter than the honey. Experience it will be very good in many times. Yeah, there is a particular time of day or season when this place is a magical namanth of January February or December also we have a very rich number of games during the high times in the UTI. It is a very beautiful place. One can visit.",0.74
audio_350.wav,2.5," Best day in life is ending money. For everyone, its money is most important. So ending ourselves is a thing when we start earning. So actually to earn money, you have to know some skills. Even if we need money or to earn money, we must complete our graduation or studies or need some skills. But if we earn money while we are education, like even in school times. So it will be more best day for a any student. So I earn some money using referral apps. It makes a day which will be happy to everyone. Like me also, its the best day. And when I think about the day, so it will be best than others because when we earn money on ourselves and to purchase something which we need. So that the day is best day.",0.74
audio_64.wav,2.0," Yeah, I have a soy crowded market. There are different types of people out there. Its very crowded with a large number of people. On one side, there are some people who are selling vegetables, some people are selling fruits, and some are selling other essential products that are required for the humans. And when I hear heres about the market, its a fascinating thing that there will be a large number of the people. And from morning to evening, people work hard there to fed up themselves for their feed and all. And its very... thats it.",0.74
audio_252.wav,2.0," In the room of Christ precio And his oldest reo will You know ilies And not iку And then is worship Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Ill say to you, Cold Sloan Curiosity. AH! dalash painful or vomiting",0.74
audio_1304.wav,2.0," there. Is it? All right. So, were just joining to that. Im saying that youre for initial interview. And then there are no more. Im particularly interested in this. Yes, you can use it with the swing and the slide where you can. Very you can do activities such as. So, just. The place you can also do like playing on the playground and also. Also do activities such as. I feel being commonly. activities. With your classmates and with your friends. What? Whats on the big.",0.74
audio_1230.wav,2.5," My tone is my entire world. I was right there. I was lot of lowly ending memories of it. I used to play there with my friends and cousins during my earlier. In my community, everyone could tell. My tone has many trees. I can only think of one spot. I enjoyed very well in my tone. My favorite place is my home town. In my home town, I enjoyed well. I get a lot of happiness from my home town because of my friends, family and relatives. There is more enough.",0.74
